doc_id,doc2people_id,person_display_name,role,person_id
Carte_Turche_559,PersonDocumentRelation0198,Delvine Kadısı,Addressee,Person_550
Carte_Turche_56,PersonDocumentRelation0199,Cafer Ağa,Mentioned,Person_541
Carte_Turche_561,PersonDocumentRelation0200,Haleb Kadısı,Addressee,Person_554
Carte_Turche_585,PersonDocumentRelation0201,Yusuf Dayı,Addressee,Person_484
Carte_Turche_586,PersonDocumentRelation0202,Yusuf Dayı,Mentioned,Person_484
Carte_Turche_588,PersonDocumentRelation0203,Ali Bölükbaşı,Undefined,Person_494
Carte_Turche_589,PersonDocumentRelation0204,Ali Bölükbaşı,Mentioned,Person_494
Carte_Turche_59,PersonDocumentRelation0205,Ali ibn Hamid,Mentioned,Person_499
Carte_Turche_590,PersonDocumentRelation0206,Aleksander veled-i,Mentioned,Person_475
Carte_Turche_590,PersonDocumentRelation0207,Bar Kadısı,Addressee,Person_522
Carte_Turche_60,PersonDocumentRelation0208,Haleb Kadısı,Addressee,Person_554
Carte_Turche_600,PersonDocumentRelation0209,Draç Kadısı,Addressee,Person_552
Carte_Turche_601,PersonDocumentRelation0210,Bosna Defterdarı,Addressee,Person_538
Carte_Turche_616,PersonDocumentRelation0211,Saray Kadısı,Addressee,Person_492
Carte_Turche_617,PersonDocumentRelation0212,Delvine Kadısı,Addressee,Person_550
Carte_Turche_618,PersonDocumentRelation0213,Bar Kadısı,Addressee,Person_522
Carte_Turche_623,PersonDocumentRelation0214,Draç Kadısı,Addressee,Person_552
Carte_Turche_624,PersonDocumentRelation0215,Avlonya Sancakbeyi,Addressee,Person_517
Carte_Turche_624,PersonDocumentRelation0216,Draç Kadısı,Addressee,Person_552
Carte_Turche_625,PersonDocumentRelation0217,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_625,PersonDocumentRelation0218,Haleb Kadısı,Addressee,Person_554
Carte_Turche_630,PersonDocumentRelation0219,Anavarin Kadısı,Addressee,Person_503
Carte_Turche_64,PersonDocumentRelation0220,Ahmed ibn Hamid,Mentioned,Person_461
Carte_Turche_642,PersonDocumentRelation0221,Ahmed Paşa,Mentioned,Person_466
Carte_Turche_644,PersonDocumentRelation0222,Ahmed Mustafa,Mentioned,Person_465
Carte_Turche_652,PersonDocumentRelation0223,Andıra Kadısı,Addressee,Person_508
Carte_Turche_658,PersonDocumentRelation0224,Alena,Undefined,Person_479
Carte_Turche_659,PersonDocumentRelation0225,Haleb Kadısı,Addressee,Person_554
Carte_Turche_66,PersonDocumentRelation0226,Cerolimo Lipovani Kavalir,Undefined,Person_546
Carte_Turche_664,PersonDocumentRelation0227,Berk oğlu Mustafa,Mentioned,Person_531
Carte_Turche_667,PersonDocumentRelation0228,Berk oğlu Mustafa,Mentioned,Person_531
Carte_Turche_67,PersonDocumentRelation0229,Cerolimo Lipovani Kavalir,Mentioned,Person_546
Carte_Turche_670,PersonDocumentRelation0230,Delvine Kadısı,Addressee,Person_550
Carte_Turche_671,PersonDocumentRelation0231,Delvine Kadısı,Addressee,Person_550
Carte_Turche_673,PersonDocumentRelation0232,Anavarin Kadısı,Addressee,Person_503
Carte_Turche_69,PersonDocumentRelation0233,Cerolimo Lipovani Kavalir,Mentioned,Person_546
Carte_Turche_692,PersonDocumentRelation0234,Abdülkerim Efendi,Mentioned,Person_429
Carte_Turche_692,PersonDocumentRelation0235,Abdurrahman Halil,Undefined,Person_439
Carte_Turche_694,PersonDocumentRelation0236,Ahmed Paşa,Undefined,Person_466
Carte_Turche_698,PersonDocumentRelation0237,Kadısı,Addressee,Person_400
Carte_Turche_704,PersonDocumentRelation0238,Abdurrahman Çavuş,Undefined,Person_437
Carte_Turche_704,PersonDocumentRelation0239,Abdurrahman Mustafa,Undefined,Person_440
Carte_Turche_704,PersonDocumentRelation0240,Abidin Hasan,Undefined,Person_442
Carte_Turche_705,PersonDocumentRelation0241,Abdullah Halife,Undefined,Person_433
Carte_Turche_705,PersonDocumentRelation0242,Ali Halife,Undefined,Person_498
Carte_Turche_710,PersonDocumentRelation0243,Yusuf Ağa,Mentioned,Person_485
Carte_Turche_713,PersonDocumentRelation0244,Ali Paşa,Mentioned,Person_500
Carte_Turche_714,PersonDocumentRelation0245,Ahmed ibn Mahmud,Undefined,Person_462
Carte_Turche_716,PersonDocumentRelation0246,Ahmed Paşa,Mentioned,Person_466
Carte_Turche_717,PersonDocumentRelation0247,Abdülaziz Çelebi,Mentioned,Person_424
Carte_Turche_717,PersonDocumentRelation0248,Ali Çelebi,Mentioned,Person_497
Carte_Turche_719,PersonDocumentRelation0249,Ahmed Paşa,Undefined,Person_466
Carte_Turche_720,PersonDocumentRelation0250,Abdülaziz Çelebi,Undefined,Person_424
Carte_Turche_721,PersonDocumentRelation0251,Abdülaziz Çelebi,Undefined,Person_424
Carte_Turche_721,PersonDocumentRelation0252,Abdülkadir Ağa,Mentioned,Person_426
Carte_Turche_721,PersonDocumentRelation0253,Ali Çelebi,Mentioned,Person_497
Carte_Turche_721,PersonDocumentRelation0254,Ali Çelebi,Mentioned,Person_497
Carte_Turche_723,PersonDocumentRelation0255,Ahmed Paşa,Sender,Person_466
Carte_Turche_724,PersonDocumentRelation0256,Ahmed Paşa,Mentioned,Person_466
Carte_Turche_725,PersonDocumentRelation0257,Antoni Kastanbre,Undefined,Person_512
Carte_Turche_726,PersonDocumentRelation0258,Antoni Kastanbre,Undefined,Person_512
Carte_Turche_730,PersonDocumentRelation0259,Saray Kadısı,Addressee,Person_492
Carte_Turche_731,PersonDocumentRelation0260,Bartolo Canki,Mentioned,Person_524
Carte_Turche_731,PersonDocumentRelation0261,Saray Kadısı,Addressee,Person_492
Carte_Turche_732,PersonDocumentRelation0262,Bartolo Canki,Undefined,Person_524
Carte_Turche_734,PersonDocumentRelation0263,Ahmed Paşa,Mentioned,Person_466
Carte_Turche_735,PersonDocumentRelation0264,Ahmed Paşa,Undefined,Person_466
Carte_Turche_738,PersonDocumentRelation0265,Adrian veled-i Luka,Undefined,Person_451
Carte_Turche_739,PersonDocumentRelation0266,Ağyazar,Mentioned,Person_455
Carte_Turche_743,PersonDocumentRelation0267,Abdullah,Mentioned,Person_431
Carte_Turche_744,PersonDocumentRelation0268,Abdülkadir Paşa,Undefined,Person_427
Carte_Turche_747,PersonDocumentRelation0269,Ali Çelebi,Sender,Person_497
Carte_Turche_748,PersonDocumentRelation0270,Ali Çelebi,Mentioned,Person_497
Carte_Turche_753,PersonDocumentRelation0271,Baltasar Sovan,Undefined,Person_521
Carte_Turche_755,PersonDocumentRelation0272,Ahmed Paşa,Sender,Person_466
Carte_Turche_756,PersonDocumentRelation0273,Ahmed Paşa,Mentioned,Person_466
Carte_Turche_759,PersonDocumentRelation0274,Abdullah Efendi,Sender,Person_432
Carte_Turche_760,PersonDocumentRelation0275,Abdullah,Mentioned,Person_431
Carte_Turche_760,PersonDocumentRelation0276,"Abdullah, Gabela kadısı",Sender,Person_434
Carte_Turche_761,PersonDocumentRelation0277,Abdullah,Mentioned,Person_431
Carte_Turche_766,PersonDocumentRelation0278,Bosna Defterdarı,Addressee,Person_538
Carte_Turche_777,PersonDocumentRelation0279,Ali Paşa,Mentioned,Person_500
Carte_Turche_782,PersonDocumentRelation0280,Alavize Korni,Mentioned,Person_472
Carte_Turche_785,PersonDocumentRelation0281,Adalar ağası,Addressee,Person_447
Carte_Turche_785,PersonDocumentRelation0282,Adalar Voyvoda,Addressee,Person_448
Carte_Turche_785,PersonDocumentRelation0283,Ali Paşa,Sender,Person_500
Carte_Turche_786,PersonDocumentRelation0284,Ahmed Paşa,Sender,Person_466
Carte_Turche_787,PersonDocumentRelation0285,Ahmed Paşa,Mentioned,Person_466
Carte_Turche_809,PersonDocumentRelation0286,Can Batista Donado,Mentioned,Person_542
Carte_Turche_809,PersonDocumentRelation0287,Haleb Kadısı,Addressee,Person_554
Carte_Turche_810,PersonDocumentRelation0288,Can Batista Donado,Mentioned,Person_542
Carte_Turche_811,PersonDocumentRelation0289,Can Batista Donado,Mentioned,Person_542
Carte_Turche_812,PersonDocumentRelation0290,Can Batista Donado,Mentioned,Person_542
Carte_Turche_813,PersonDocumentRelation0291,Can Batista Donado,Mentioned,Person_542
Carte_Turche_817,PersonDocumentRelation0292,Can Batista Donado,Mentioned,Person_542
Carte_Turche_819,PersonDocumentRelation0293,Can Batista Donado,Mentioned,Person_542
Carte_Turche_820,PersonDocumentRelation0294,Can Batista Donado,Mentioned,Person_542
Carte_Turche_821,PersonDocumentRelation0295,Can Batista Donado,Mentioned,Person_542
Carte_Turche_825,PersonDocumentRelation0296,Can Batista Donado,Mentioned,Person_542
Carte_Turche_826,PersonDocumentRelation0297,Can Batista Donado,Mentioned,Person_542
Carte_Turche_828,PersonDocumentRelation0298,Can Batista Donado,Mentioned,Person_542
Carte_Turche_829,PersonDocumentRelation0299,Can Batista Donado,Mentioned,Person_542
Carte_Turche_830,PersonDocumentRelation0300,Can Batista Donado,Mentioned,Person_542
Carte_Turche_831,PersonDocumentRelation0301,Sancakbeyi,Addressee,Person_404
Carte_Turche_831,PersonDocumentRelation0302,Avlonya Sancakbeyi,Addressee,Person_517
Carte_Turche_831,PersonDocumentRelation0303,Can Batista Donado,Mentioned,Person_542
Carte_Turche_832,PersonDocumentRelation0304,Can Batista Donado,Mentioned,Person_542
Carte_Turche_834,PersonDocumentRelation0305,Abdülati,Mentioned,Person_423
Carte_Turche_835,PersonDocumentRelation0306,Can Batista Donado,Mentioned,Person_542
Carte_Turche_836,PersonDocumentRelation0307,Can Batista Donado,Mentioned,Person_542
Carte_Turche_837,PersonDocumentRelation0308,Can Batista Donado,Mentioned,Person_542
Carte_Turche_838,PersonDocumentRelation0309,Can Batista Donado,Mentioned,Person_542
Carte_Turche_840,PersonDocumentRelation0310,Can Batista Donado,Mentioned,Person_542
Carte_Turche_841,PersonDocumentRelation0311,Can Batista Donado,Mentioned,Person_542
Carte_Turche_842,PersonDocumentRelation0312,Can Batista Donado,Undefined,Person_542
Carte_Turche_868,PersonDocumentRelation0313,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_868,PersonDocumentRelation0314,Haleb Kadısı,Addressee,Person_554
Carte_Turche_882,PersonDocumentRelation0315,"Abdi Reis (Türk Abdi Reis), janissary",Mentioned,Person_403
Carte_Turche_884,PersonDocumentRelation0316,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_887,PersonDocumentRelation0317,Abu al-Nasr (Abünnasır),Undefined,Person_444
Carte_Turche_896,PersonDocumentRelation0318,Anderya Rola,Mentioned,Person_506
Carte_Turche_898,PersonDocumentRelation0319,"Abdürrahim, kadı of Selanik",Undefined,Person_436
Carte_Turche_904,PersonDocumentRelation0320,Sakız Kadısı,Addressee,Person_490
